t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0.005,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.0, 4.1887902047863905, 4.1887902047863905]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[9.81],"[1.0, 0.0, 0.0, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[49.52272205765753, 49.52272205765753, 49.52272205765753, 49.52272205765753]"
0.01,"[1.0, 0.0, 0.0]","[0.9997806834748455, 0.02094241988335696, 0.020943568232491588]","[0.0, 0.0, 0.0010471784116245697]","[-0.08772340327192939, 4.187871533874076, 4.188560530761726]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.41796744053232604, -0.004377104804307691, 4.661160346586258e-18]",[10.019435682324916],"[0.9999453997780355, -0.01044918601330815, -0.00010942762010769151, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[50.266732981195105, 67.78418785559695, 49.82944306892954, 20.372081825861546]"
0.015,"[1.0, 0.0, 5.2358920581228485e-06]","[0.9991228300988584, 0.04187565372919963, 0.04188483976671392]","[0.0, 0.0, 0.0030890614793790405]","[-0.1754083281598981, 4.185115924096555, 4.187871533874076]","[0.9999994540131335, -0.0010449180308189823, -1.0942756036164888e-05, 1.1652894504134816e-20]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.8190987624628014, -0.01715767317069294, 7.958078640513123e-19]",[10.218376613550895],"[0.9997902226315976, -0.020477469061570032, -0.0004289418292673234, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.17125164796782, 67.52962877907815, 49.90682630217831, 23.429416205602468]"
0.02,"[1.0, 0.0, 2.068119945501805e-05]","[0.9980267284282716, 0.06279051952931336, 0.06282151815625657]","[-1.138982938777188e-06, 0.00010876088305269273, 0.006081758465560335]","[-0.26301631315783636, 4.180524584155351, 4.186723289679714]","[0.9999952162746708, -0.0030926573319251943, -5.3836802617773246e-05, 2.24128633273825e-08]","[[0.9999999997605123, 2.2868566178060585e-08, -2.1885500123127615e-05], [2.2868566178107198e-08, 0.9999978162926179, 0.0020898349206149216], [2.1885500123127615e-05, -0.0020898349206149216, 0.9999978160531301]]","[-1.1632429329096743, -0.03743178862227819, -1.3192040818479757e-05]",[10.408562128982943],"[0.9995456747712423, -0.030125533069082857, -0.0009467330169267722, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[51.97943924669976, 65.76100964540014, 49.991208725990006, 29.716471612788784]"
0.025,"[0.9999999943050853, 5.438044152634637e-07, 5.108999178281973e-05]","[0.9964928592495044, 0.0836778433323155, 0.08375130745839926]","[-6.8410658080986566e-06, 0.000436316845218982, 0.009988039475430775]","[-0.3505089305080533, 4.174099527963907, 4.185115924096555]","[0.9999819846197178, -0.00600072534818704, -0.00014741536969360477, 1.222784398403082e-07]","[[0.9999999942031965, 2.8817205246573085e-07, -0.00010767322878520604], [3.778230769073328e-07, 0.9999808709412538, 0.006185285072590688], [0.00010767295152398165, -0.006185285077417235, 0.9999808651444522]]","[-1.4514888861011235, -0.06392882543857772, -6.68274850378358e-05]",[10.59145886800957],"[0.9992230333215124, -0.03937766492766492, -0.0016520243945776687, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[52.66541057047282, 63.998428992335874, 50.08667589682385, 34.833021424685036]"
0.030000000000000002,"[0.9999999600997563, 2.7253886413583737e-06, 0.0001010301891599736]","[0.9945218953682733, 0.10452846326765346, 0.10467191248588766]","[-2.2714635968053898e-05, 0.0010824669760342255, 0.014774465335238924]","[-0.43784780305692084, 4.165843573764219, 4.18304961339035]","[0.9999535898380183, -0.009629318626058075, -0.00030723397359471024, 3.793291161298331e-07]","[[0.9999999565373877, 1.524645817370127e-06, -0.00029482689541798757], [2.013750765160984e-06, 0.9999279825905614, 0.012001234449624403], [0.00029482396038065363, -0.01200123452172729, 0.9999279391280088]]","[-1.6888901700771286, -0.09548306978554147, -0.00019785974024142772]",[10.768061127836157],"[0.9988336760534271, -0.0482168491454192, -0.002534371733808025, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.22976114725116, 62.41314552031098, 50.17833225929068, 39.00497268271653]"
0.035,"[0.9999998465265765, 8.1377235215295e-06, 0.00017490251583616821]","[0.9921147013144779, 0.12533323356430426, 0.12558103905862675]","[-5.6321814003584445e-05, 0.0021357696761437383, 0.02040933451648587]","[-0.5249946210883626, 4.155760342890661, 4.180524584155351]","[0.9999039181597466, -0.013851223996300533, -0.0005459320525972121, 8.860759600551928e-07]","[[0.9999998112142835, 5.158284626178538e-06, -0.0006144467349943056], [6.675530671794974e-06, 0.9998145524453083, 0.01925774322255615], [0.0006144321242706122, -0.019257743688727316, 0.999814363660167]]","[-1.880553368934466, -0.13106779172292368, -0.0004486860769693742]",[10.939004513008602],"[0.9983887873778894, -0.056630264830098934, -0.003583621545376313, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.67794189281169, 61.02802974559994, 50.254096613850756, 42.51809527785148]"
0.04,"[0.9999995649175064, 1.8816571902248192e-05, 0.00027694918841859753]","[0.9892723329629883, 0.14608302856241162, 0.14647639425526338]","[-0.0001169412231415723, 0.003673752476992094, 0.026861271533400562]","[-0.6119111591277603, 4.1438542581815465, 4.17754111328947]","[0.9998275161503956, -0.018551948776623143, -0.0008735800505129455, 1.7364367135780067e-06]","[[0.9999994039148177, 1.3351672646075525e-05, -0.0010917837433550913], [1.689563594306091e-05, 0.9996162871860383, 0.027699785322943878], [0.0010917346504086896, -0.027699787257892947, 0.9996156911039965]]","[-2.031243200335472, -0.16978539256059214, -0.0008635103130301416]",[11.104655021094597],"[0.9978991336302462, -0.06460940798058165, -0.004789937411166911, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.01757797193794, 59.84535021024002, 50.306289085736694, 45.547421746748896]"
0.045,"[0.9999989802113907, 3.718533428720866e-05, 0.00041125554608560037]","[0.9859960370705049, 0.16676874671610228, 0.167355686664631]","[-0.0002153382379630628, 0.005763302144961704, 0.034098310728994816]","[-0.6985592927089118, 4.130130542039129, 4.174099527963907]","[0.9997199565946696, -0.023628871475275034, -0.0012980023333959033, 3.016485040770247e-06]","[[0.9999984737097602, 2.8940950286213943e-05, -0.0017469231726957195], [3.588549911137016e-05, 0.9993116503871486, 0.037097494696328046], [0.0017467943155558628, -0.03709750076399393, 0.9993101241089698]]","[-2.1453565989045518, -0.21085415981411426, -0.0014854225849751047]",[11.265179414805255],"[0.9973748989522345, -0.07214959698093533, -0.006143825803894916, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.25771517467174, 58.8608603448831, 50.331024065089146, 48.20235362354245]"
0.049999999999999996,"[0.9999979035202009, 6.600184501201718e-05, 0.0005817470997305745]","[0.9822872507286887, 0.18738131458572463, 0.18821662663702865]","[-0.00036354455482512935, 0.008461105530628165, 0.04208736817085175]","[-0.7849010150966805, 4.114595214138885, 4.170200205587276]","[0.9995780258008718, -0.028990333587366975, -0.0018250675345724665, 4.797818789588089e-06]","[[0.9999966303616866, 5.5309380032783205e-05, -0.002595420225079336], [6.737194120889242e-05, 0.9988833528474115, 0.04724450090047674], [0.0025951351205299946, -0.047244516562095225, 0.9988799832454949]]","[-2.2269353241234238, -0.25359570373563217, -0.0023542040189903834]",[11.420602754803314],"[0.9968255710721843, -0.07924941664738792, -0.007636152019326122, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.408278129862815, 58.06584188700874, 50.32738111447216, 50.555462037829095]"
0.05499999999999999,"[0.9999960857974268, 0.000108307372665158, 0.0007921839405848332]","[0.9781476007338057, 0.20791169081775931, 0.20905692653530691]","[-0.0005746474596414967, 0.011814118555080208, 0.05079401271172017]","[-0.8708984539580068, 4.097255088789074, 4.165843573764219]","[0.9993997806904046, -0.034554766383566096, -0.002458947999003053, 7.133472005660934e-06]","[[0.9999933382109505, 9.622704482576484e-05, -0.0036488729870568248], [0.00011541022176115201, 0.9983191210709483, 0.05795618331645135], [0.003648316625588017, -0.05795621834182459, 0.998312459373975]]","[-2.279683073724084, -0.29742340377983545, -0.003504796052595833]",[11.570855196395456],"[0.9962598686860629, -0.08591019024083678, -0.009258145516897106, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.479613573512054, 57.44803348507977, 50.29663303519597, 52.657374177756374]"
0.05999999999999999,"[0.9999932125601286, 0.00016737796544055903, 0.001046154004143434]","[0.9735789028731603, 0.2283508701106557, 0.22987430098573317]","[-0.0008625890853293421, 0.01586005716523218, 0.06018246092994506]","[-0.9565138879739639, 4.078117771941774, 4.161030110248507]","[0.9991845142346061, -0.040249861643992586, -0.0032023507412688667, 1.0056010151777317e-05]","[[0.9999879070477036, 0.00015567836659373835, -0.004915437172782841], [0.00018419512802581305, 0.9976119361385816, 0.06906801680941484], [0.004914451190948203, -0.06906808697276169, 0.9975998433898308]]","[-2.3069837766236314, -0.3418318486497554, -0.0049663370975723195]",[11.715809421070443],"[0.9956857024855261, -0.0921355042870565, -0.011001396078405945, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.48212504111004, 56.99253021569939, 50.241591339207694, 54.54485742388493]"
0.06499999999999999,"[0.9999888996147019, 0.00024667825126671995, 0.0013470663087931593]","[0.9685831611286311, 0.24868988716485474, 0.25066646712860846]","[-0.0012419760779736459, 0.020627907907623883, 0.07021573278448104]","[-1.0417097633855763, 4.057191657856648, 4.155760342890661]","[0.9989326595126738, -0.04601178739410112, -0.004056722247338526, 1.357734509460661e-05]","[[0.9999794896972133, 0.0002376927293059343, -0.006400288045681729], [0.0002778839677805018, 0.9967598970730324, 0.08043401250378257], [0.006398669033612531, -0.08043414131526883, 0.9967393871747389]]","[-2.3119206386007645, -0.38638723659648094, -0.0067616582039317025]",[11.855309946566416],"[0.995110162457084, -0.09793079419450872, -0.012857842862189025, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.425998273622035, 56.68268637619597, 50.16607826622541, 56.24551817745892]"
0.06999999999999999,"[0.999982689734312, 0.00034981779080483935, 0.0016981449727155645]","[0.9631625667976582, 0.26891982061526565, 0.2714311448686087]","[-0.001727900216743483, 0.026138456520511937, 0.08085591576928601]","[-1.126448710466138, 4.034485925418949, 4.150034849580052]","[0.9986456557333436, -0.051784449165578894, -0.005022429353203905, 1.7689807070291446e-05]","[[0.9999670856405274, 0.00034618837623396736, -0.008106034122707951], [0.0004004397900118743, 0.9957658304729116, 0.09192524414200652], [0.008103535251044474, -0.09192546446007814, 0.9957329168508161]]","[-2.2972956520187777, -0.43071870341338275, -0.008907133971169694]",[11.98919549101297],"[0.9945395250382364, -0.10330299073305482, -0.014819758511040391, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.321006396540575, 56.50095937900575, 50.07451515256023, 57.780691208810616]"
0.075,"[0.9999740502332283, 0.00048051007340739905, 0.0021024245515619947]","[0.9573194975320672, 0.28903179694447156, 0.2921660571248232]","[-0.002335770596216825, 0.03240483247720997, 0.09206449515388468]","[-1.2106935599128115, 4.010010534113352, 4.1438542581815465]","[0.9983257938536136, -0.05751879711064789, -0.0060989183603464845, 2.2368062798588134e-05]","[[0.9999495497809258, 0.000484835777094383, -0.01003308662343938], [0.0005554991730204132, 0.9946367410233767, 0.10342845269588656], [0.010029422395779457, -0.10342880807911169, 0.9945862920560194]]","[-2.2656492363012246, -0.4745105404385655, -0.011412797244473956]",[12.117315484015263],"[0.9939792748290519, -0.10826022314991286, -0.01687973026571088, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.1763799728876, 56.429643819353345, 49.97160970706136, 59.16729551665019]"
0.08,"[0.9999623713802472, 0.000642534235793449, 0.002562747027331418]","[0.9510565162951535, 0.3090169943749474, 0.31286893008046174]","[-0.003081157964549289, 0.03943306647547286, 0.10380271656465481]","[-1.2944073591503107, 3.9837762196554074, 4.137219246466637]","[0.9979760547955498, -0.06317217892218253, -0.007284854476504751, 2.7571540881561742e-05]","[[0.9999256053890073, 0.0006569436674256135, -0.012179988195614307], [0.0007462661236270854, 0.9933831749572279, 0.11484472473200721], [0.012174841859350827, -0.11484527041596276, 0.993308782347556]]","[-2.219279675858379, -0.517495256728407, -0.014282641218932916]",[12.239541719767157],"[0.99343413663979, -0.1128115725943121, -0.01903063970426028, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[54.00072698199189, 56.45146698301941, 49.86212341733163, 60.419067594290034]"
0.085,"[0.9999469655904245, 0.0008396995681708133, 0.003081760610154692]","[0.944376370237481, 0.32886664673858323, 0.33353749343220457]","[-0.003979651722192731, 0.04722265687845451, 0.11603195472972123]","[-1.3775533885395237, 3.955794489282486, 4.130130542039129]","[0.997599949561487, -0.0687077380396333, -0.008578243586289903, 3.324710015728161e-05]","[[0.9998938602701328, 0.0008653687856364107, -0.014543704169071284], [0.0009754317360108714, 0.9920185501000681, 0.12608824207787062], [0.014536737151816364, -0.12608904549652267, 0.9919124134109601]]","[-2.1602620606431735, -0.5594474315863752, -0.017515047675787942]",[12.355776041624708],"[0.9929081146106926, -0.11696686879219662, -0.021265642364827513, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.80198953188571, 56.55003750164122, 49.75070179414013, 61.54740362995893]"
0.09000000000000001,"[0.9999270673318136, 0.0010758128525630859, 0.0036619203838032985]","[0.9372819894918915, 0.34857204732181524, 0.35416948063916665]","[-0.005046729939808132, 0.055767140307709503, 0.1287140687305798]","[-1.460095177483958, 3.9260776167063356, 4.122588922255347]","[0.9972013676380193, -0.07409385614421908, -0.00997653825520972, 3.9331744889339e-05]","[[0.9998528252632094, 0.0011124488154540032, -0.017119879404114288], [0.0012451180372138825, 0.9905584912562151, 0.13708510160219678], [0.01711074207192155, -0.1370862424090915, 0.9904113209409029]]","[-2.090466491535877, -0.6001782974988589, -0.02110329376898605]",[12.465954840300554],"[0.9924045359327293, -0.12073652301255393, -0.023578148166962097, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.58742649155484, 56.710154524462546, 49.6417527779082, 62.561947837814195]"
0.09500000000000001,"[0.9999018336821145, 0.0013546485541016335, 0.004305490727456197]","[0.9297764858882513, 0.368124552684678, 0.37476262917144926]","[-0.006297642570828358, 0.06505466107908499, 0.14181172963909422]","[-1.5419965204269506, 3.894638636729419, 4.114595214138885]","[0.9967844378289088, -0.0793036385213588, -0.011476729753606335, 4.5755248732175154e-05]","[[0.9998009342749125, 0.0013999570410071376, -0.019903063666071766], [0.001556843720188092, 0.9890201978693873, 0.1477722045718648], [0.019891406703480836, -0.14777377415049492, 0.9888211383322443]]","[-2.011575374492653, -0.6395309898358307, -0.02503610146710742]",[12.570051043474512],"[0.9919260973269635, -0.12413139092812386, -0.025961803249168337, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.36361363596281, 56.91799485152019, 49.539361490824625, 63.47101155921433]"
0.10000000000000002,"[0.9998703454692603, 0.0016799218594970584, 0.005014549375651668]","[0.9218631515885005, 0.387515586452103, 0.3953146807582524]","[-0.007747307833814943, 0.0750685339873369, 0.15528871104177502]","[-1.6232214927326227, 3.8614913395274226, 4.106150294289918]","[0.9963534039478446, -0.08431444052042568, -0.013075427757626806, 5.244259637083407e-05]","[[0.99973656516124, 0.0017290766158041938, -0.022886908346537425], [0.0019115090953450862, 0.9874218616474619, 0.15809621524135023], [0.02287239411571378, -0.15809831572384828, 0.9871584351828728]]","[-1.9250996858070144, -0.6773763983921139, -0.029298203309844402]",[12.66807417617772],"[0.9914749129225073, -0.12716265975256727, -0.028410473596179927, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[53.13645506132041, 57.16120039815784, 49.4472321866542, 64.28187705578257]"
0.10500000000000002,"[0.9998316089300913, 0.0020552645294337427, 0.005790992930860543]","[0.9135454576426009, 0.40673664307580026, 0.41582338163551874]","[-0.009410221539727792, 0.0857877950632347, 0.1691101367434894]","[-1.7037344664436105, 3.826650264600427, 4.097255088789074]","[0.9959125165296349, -0.08910743307989441, -0.014768929247295969, 5.931618817486973e-05]","[[0.9996580608774585, 0.00210039203308721, -0.026064337245116097], [0.002309397470710984, 0.9857821447390035, 0.16801258821020792], [0.026046650572426316, -0.16801533104772898, 0.9854402166173655]]","[-1.8323941418480083, -0.7136095566437083, -0.033870905690456726]",[12.760068980648596],"[0.9910525625332086, -0.12984175488098595, -0.030918230638034186, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[52.91120144963237, 57.42888927137333, 49.36865054189385, 65.0010212422368]"
0.11000000000000003,"[0.9997845578223926, 0.0024842035047499163, 0.00663654361457799]","[0.9048270524660195, 0.42577929156507277, 0.4362864827930852]","[-0.011300378953176595, 0.09718773529800051, 0.1832426829836492]","[-1.7835001259086654, 3.790130694395404, 4.087910573095877]","[0.9954659407935892, -0.09366720510723547, -0.016553277981643962, 6.629778043499974e-05]","[[0.9995637504209565, 0.0025138952806578827, -0.02942769401278201], [0.002750190217602602, 0.984119723703004, 0.17748466376701466], [0.02940655195970862, -0.17748816791336014, 0.9836834881976011]]","[-1.734671248682097, -0.7481465070259726, -0.03873263667787307]",[12.846113002451412],"[0.9906601395967478, -0.13218026208068812, -0.033479338858953336, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[52.69247222419092, 57.71161198762636, 49.30646129336893, 65.63428288531424]"
0.11500000000000003,"[0.9997280559276267, 0.0029701421812399187, 0.007552757029496236]","[0.8957117602394128, 0.4446351791849276, 0.4567017402213116]","[-0.013431208614338878, 0.10924041289216468, 0.19765473487529248]","[-1.8624834832732664, 3.7519486476028283, 4.078117771941774]","[0.9950176804404381, -0.09798140039905935, -0.01842431579166259, 7.331015332193038e-05]","[[0.9994519691853335, 0.0029690042030609534, -0.03296886873402636], [0.0032329929325539686, 0.9824529005840068, 0.18648283001598231], [0.032944029022833714, -0.18648721979833877, 0.981904887350923]]","[-1.6330142399716192, -0.7809215841520674, -0.04385946973677488]",[12.926313476829163],"[0.9902982982299152, -0.13418986202569627, -0.03608824535023305, 0.0]",[0.5],"[0.0, 0.0, 0.0]","[52.48427976523102, 58.001271175877065, 49.26305767219581, 66.18698924352432]"
